S;k;time
186;9;0.000035
186;10;0.000036
186;11;0.000037
186;12;0.000037
186;13;0.000039
186;14;0.000039
186;15;0.000041
186;16;0.000041
186;17;0.000041
186;18;0.000042
186;19;0.000043
187;0;0.000021
187;1;0.000023
187;2;0.000024
187;3;0.000026
187;4;0.000028
187;5;0.000030
187;6;0.000032
187;7;0.000034
187;8;0.000035
187;9;0.000035
187;10;0.000036
187;11;0.000037
187;12;0.000039
187;13;0.000038
187;14;0.000039
187;15;0.000040
187;16;0.000041
187;17;0.000041
187;18;0.000042
187;19;0.000044
188;0;0.000020
188;1;0.000023
188;2;0.000025
188;3;0.000026
188;4;0.000029
188;5;0.000030
188;6;0.000032
188;7;0.000034
188;8;0.000035
188;9;0.000036
188;10;0.000036
188;11;0.000038
188;12;0.000038
188;13;0.000038
188;14;0.000040
188;15;0.000041
188;16;0.000042
188;17;0.000041
188;18;0.000044
188;19;0.000044
189;0;0.000020
189;1;0.000023
189;2;0.000025
189;3;0.000028
189;4;0.000028
189;5;0.000030
189;6;0.000032
189;7;0.000034
189;8;0.000035
189;9;0.000035
189;10;0.000038
189;11;0.000038
189;12;0.000038
189;13;0.000039
189;14;0.000039
189;15;0.000042
189;16;0.000041
189;17;0.000042
189;18;0.000044
189;19;0.000044
190;0;0.000022
190;1;0.000023
190;2;0.000025
190;3;0.000027
190;4;0.000029
190;5;0.000032
190;6;0.000032
190;7;0.000034
190;8;0.000034
190;9;0.000036
190;10;0.000037
190;11;0.000037
190;12;0.000039
190;13;0.000039
190;14;0.000041
190;15;0.000041
190;16;0.000042
190;17;0.000043
190;18;0.000043
190;19;0.000044
191;0;0.000021
191;1;0.000024
191;2;0.000025
191;3;0.000026
191;4;0.000029
191;5;0.000030
191;6;0.000032
191;7;0.000033
191;8;0.000035
191;9;0.000036
191;10;0.000037
191;11;0.000037
191;12;0.000038
191;13;0.000039
191;14;0.000040
191;15;0.000041
191;16;0.000043
191;17;0.000042
191;18;0.000043
191;19;0.000044
192;0;0.000023
192;1;0.000025
192;2;0.000025
192;3;0.000028
192;4;0.000028
192;5;0.000031
192;6;0.000032
192;7;0.000034
192;8;0.000036
192;9;0.000036
192;10;0.000036
192;11;0.000038
192;12;0.000038
192;13;0.000040
192;14;0.000040
192;15;0.000042
192;16;0.000042
192;17;0.000043
192;18;0.000044
192;19;0.000044
193;0;0.000021
193;1;0.000024
193;2;0.000025
193;3;0.000027
193;4;0.000029
193;5;0.000030
193;6;0.000033
193;7;0.000035
193;8;0.000036
193;9;0.000036
193;10;0.000037
193;11;0.000038
193;12;0.000040
193;13;0.000040
193;14;0.000041
193;15;0.000041
193;16;0.000043
193;17;0.000043
193;18;0.000043
193;19;0.000046
194;0;0.000021
194;1;0.000024
194;2;0.000026
194;3;0.000027
194;4;0.000029
194;5;0.000031
194;6;0.000033
194;7;0.000034
194;8;0.000035
194;9;0.000036
194;10;0.000037
194;11;0.000039
194;12;0.000039
194;13;0.000040
194;14;0.000041
194;15;0.000041
194;16;0.000043
194;17;0.000045
194;18;0.000045
194;19;0.000044
195;0;0.000021
195;1;0.000024
195;2;0.000025
195;3;0.000027
195;4;0.000028
195;5;0.000033
195;6;0.000032
195;7;0.000034
195;8;0.000036
195;9;0.000037
195;10;0.000038
195;11;0.000038
195;12;0.000039
195;13;0.000040
195;14;0.000041
195;15;0.000042
195;16;0.000042
195;17;0.000044
195;18;0.000044
195;19;0.000045
196;0;0.000021
196;1;0.000025
196;2;0.000027
196;3;0.000027
196;4;0.000029
196;5;0.000031
196;6;0.000033
196;7;0.000036
196;8;0.000035
196;9;0.000038
196;10;0.000038
196;11;0.000038
196;12;0.000039
196;13;0.000040
196;14;0.000042
196;15;0.000042
196;16;0.000042
196;17;0.000044
196;18;0.000045
196;19;0.000046
197;0;0.000022
197;1;0.000026
197;2;0.000026
197;3;0.000027
197;4;0.000029
197;5;0.000031
197;6;0.000034
197;7;0.000034
197;8;0.000036
197;9;0.000037
197;10;0.000038
197;11;0.000040
197;12;0.000040
197;13;0.000040
197;14;0.000041
197;15;0.000042
197;16;0.000043
197;17;0.000044
197;18;0.000046
197;19;0.000045
198;0;0.000021
198;1;0.000024
198;2;0.000026
198;3;0.000029
198;4;0.000030
198;5;0.000032
198;6;0.000035
198;7;0.000035
198;8;0.000036
198;9;0.000037
198;10;0.000038
198;11;0.000039
198;12;0.000040
198;13;0.000042
198;14;0.000042
198;15;0.000043
198;16;0.000043
198;17;0.000045
198;18;0.000045
198;19;0.000045
199;0;0.000021
199;1;0.000026
199;2;0.000026
199;3;0.000029
199;4;0.000030
199;5;0.000032
199;6;0.000033
199;7;0.000035
199;8;0.000037
199;9;0.000037
199;10;0.000038
199;11;0.000039
199;12;0.000040
199;13;0.000041
199;14;0.000042
199;15;0.000044
199;16;0.000082
199;17;0.000076
199;18;0.000046
199;19;0.000046
200;0;0.000021
200;1;0.000025
200;2;0.000027
200;3;0.000028
200;4;0.000029
200;5;0.000032
200;6;0.000034
200;7;0.000036
200;8;0.000036
200;9;0.000037
200;10;0.000038
200;11;0.000039
200;12;0.000040
200;13;0.000041
200;14;0.000043
200;15;0.000043
200;16;0.000043
200;17;0.000044
200;18;0.000045
200;19;0.000047
201;0;0.000022
201;1;0.000026
201;2;0.000026
201;3;0.000028
201;4;0.000030
201;5;0.000032
201;6;0.000035
201;7;0.000036
201;8;0.000037
201;9;0.000038
201;10;0.000038
201;11;0.000040
201;12;0.000040
201;13;0.000042
201;14;0.000043
201;15;0.000044
201;16;0.000044
201;17;0.000045
201;18;0.000047
201;19;0.000046
202;0;0.000021
202;1;0.000025
202;2;0.000026
202;3;0.000029
202;4;0.000029
202;5;0.000033
202;6;0.000034
202;7;0.000035
202;8;0.000037
202;9;0.000038
202;10;0.000040
202;11;0.000039
202;12;0.000040
202;13;0.000042
202;14;0.000043
202;15;0.000043
202;16;0.000044
202;17;0.000046
202;18;0.000046
202;19;0.000046
203;0;0.000023
203;1;0.000026
203;2;0.000028
203;3;0.000029
203;4;0.000030
203;5;0.000032
203;6;0.000034
203;7;0.000037
203;8;0.000037
203;9;0.000038
203;10;0.000039
203;11;0.000040
203;12;0.000041
203;13;0.000042
203;14;0.000044
203;15;0.000044
203;16;0.000044
203;17;0.000045
203;18;0.000046
203;19;0.000048
204;0;0.000022
204;1;0.000026
204;2;0.000026
204;3;0.000028
204;4;0.000030
204;5;0.000032
204;6;0.000035
204;7;0.000036
204;8;0.000037
204;9;0.000039
204;10;0.000040
204;11;0.000041
204;12;0.000041
204;13;0.000043
204;14;0.000043
204;15;0.000044
204;16;0.000045
204;17;0.000046
204;18;0.000048
204;19;0.000047
205;0;0.000022
205;1;0.000025
205;2;0.000027
205;3;0.000030
205;4;0.000030
205;5;0.000034
205;6;0.000054
205;7;0.000071
205;8;0.000073
205;9;0.000054
205;10;0.000039
205;11;0.000040
205;12;0.000042
205;13;0.000042
205;14;0.000043
205;15;0.000044
205;16;0.000045
205;17;0.000047
205;18;0.000047
205;19;0.000048
206;0;0.000023
206;1;0.000026
206;2;0.000027
206;3;0.000028
206;4;0.000031
206;5;0.000033
206;6;0.000034
206;7;0.000036
206;8;0.000038
206;9;0.000040
206;10;0.000039
206;11;0.000042
206;12;0.000042
206;13;0.000061
206;14;0.000061
206;15;0.000044
206;16;0.000045
206;17;0.000048
206;18;0.000047
206;19;0.000048
207;0;0.000022
207;1;0.000025
207;2;0.000027
207;3;0.000029
207;4;0.000030
207;5;0.000033
207;6;0.000035
207;7;0.000037
207;8;0.000038
207;9;0.000039
207;10;0.000039
207;11;0.000041
207;12;0.000042
207;13;0.000042
207;14;0.000044
207;15;0.000046
207;16;0.000045
207;17;0.000046
207;18;0.000046
207;19;0.000048
208;0;0.000022
208;1;0.000025
208;2;0.000028
208;3;0.000029
208;4;0.000031
208;5;0.000033
208;6;0.000035
208;7;0.000038
208;8;0.000038
208;9;0.000039
208;10;0.000040
208;11;0.000041
208;12;0.000042
208;13;0.000042
208;14;0.000045
208;15;0.000044
208;16;0.000046
208;17;0.000047
208;18;0.000048
208;19;0.000049
209;0;0.000022
209;1;0.000027
209;2;0.000028
209;3;0.000029
209;4;0.000031
209;5;0.000034
209;6;0.000037
209;7;0.000037
209;8;0.000038
209;9;0.000039
209;10;0.000040
209;11;0.000041
209;12;0.000042
209;13;0.000044
209;14;0.000044
209;15;0.000045
209;16;0.000046
209;17;0.000046
209;18;0.000048
209;19;0.000048
210;0;0.000024
210;1;0.000026
210;2;0.000027
210;3;0.000029
210;4;0.000031
210;5;0.000034
210;6;0.000035
210;7;0.000037
210;8;0.000039
210;9;0.000039
210;10;0.000041
210;11;0.000041
210;12;0.000043
210;13;0.000044
210;14;0.000045
210;15;0.000045
210;16;0.000046
210;17;0.000048
210;18;0.000050
210;19;0.000048
211;0;0.000023
211;1;0.000026
211;2;0.000028
211;3;0.000030
211;4;0.000031
211;5;0.000034
211;6;0.000036
211;7;0.000038
211;8;0.000040
211;9;0.000039
211;10;0.000041
211;11;0.000042
211;12;0.000043
211;13;0.000044
211;14;0.000044
211;15;0.000046
211;16;0.000046
211;17;0.000047
211;18;0.000048
211;19;0.000049
212;0;0.000023
212;1;0.000026
212;2;0.000028
212;3;0.000029
212;4;0.000031
212;5;0.000034
212;6;0.000036
212;7;0.000038
212;8;0.000039
212;9;0.000041
212;10;0.000040
212;11;0.000042
212;12;0.000043
212;13;0.000043
212;14;0.000046
212;15;0.000045
212;16;0.000046
212;17;0.000047
212;18;0.000048
212;19;0.000049
213;0;0.000023
213;1;0.000027
213;2;0.000028
213;3;0.000030
213;4;0.000031
213;5;0.000034
213;6;0.000037
213;7;0.000037
213;8;0.000040
213;9;0.000040
213;10;0.000041
213;11;0.000042
213;12;0.000044
213;13;0.000045
213;14;0.000045
213;15;0.000046
213;16;0.000047
213;17;0.000048
213;18;0.000050
213;19;0.000049
214;0;0.000024
214;1;0.000026
214;2;0.000028
214;3;0.000029
214;4;0.000031
214;5;0.000035
214;6;0.000036
214;7;0.000038
214;8;0.000039
214;9;0.000040
214;10;0.000043
214;11;0.000042
214;12;0.000044
214;13;0.000044
214;14;0.000045
214;15;0.000046
214;16;0.000047
214;17;0.000048
214;18;0.000048
214;19;0.000049
215;0;0.000023
215;1;0.000026
215;2;0.000028
215;3;0.000030
215;4;0.000033
215;5;0.000034
215;6;0.000036
215;7;0.000038
215;8;0.000039
215;9;0.000040
215;10;0.000041
215;11;0.000043
215;12;0.000043
215;13;0.000044
215;14;0.000045
215;15;0.000046
215;16;0.000048
215;17;0.000049
215;18;0.000049
215;19;0.000050
216;0;0.000023
216;1;0.000027
216;2;0.000028
216;3;0.000030
216;4;0.000032
216;5;0.000034
216;6;0.000037
216;7;0.000038
216;8;0.000040
216;9;0.000040
216;10;0.000042
216;11;0.000043
216;12;0.000044
216;13;0.000045
216;14;0.000045
216;15;0.000046
216;16;0.000047
216;17;0.000048
216;18;0.000050
216;19;0.000050
217;0;0.000024
217;1;0.000027
217;2;0.000028
217;3;0.000030
217;4;0.000032
217;5;0.000035
217;6;0.000037
217;7;0.000039
217;8;0.000040
217;9;0.000040
217;10;0.000042
217;11;0.000042
217;12;0.000045
217;13;0.000045
217;14;0.000046
217;15;0.000047
217;16;0.000047
217;17;0.000049
217;18;0.000049
217;19;0.000051
218;0;0.000024
218;1;0.000027
218;2;0.000028
218;3;0.000030
218;4;0.000033
218;5;0.000035
218;6;0.000036
218;7;0.000039
218;8;0.000040
218;9;0.000041
218;10;0.000042
218;11;0.000043
218;12;0.000044
218;13;0.000046
218;14;0.000046
218;15;0.000047
218;16;0.000048
218;17;0.000049
218;18;0.000049
218;19;0.000050
219;0;0.000024
219;1;0.000027
219;2;0.000029
219;3;0.000031
219;4;0.000033
219;5;0.000035
219;6;0.000037
219;7;0.000040
219;8;0.000040
219;9;0.000041
219;10;0.000042
219;11;0.000043
219;12;0.000045
219;13;0.000046
219;14;0.000046
219;15;0.000047
219;16;0.000048
219;17;0.000050
219;18;0.000050
219;19;0.000051
220;0;0.000023
220;1;0.000028
220;2;0.000029
220;3;0.000031
220;4;0.000033
220;5;0.000035
220;6;0.000038
220;7;0.000039
220;8;0.000041
220;9;0.000042
220;10;0.000043
220;11;0.000044
220;12;0.000044
220;13;0.000046
220;14;0.000047
220;15;0.000048
220;16;0.000049
220;17;0.000049
220;18;0.000050
220;19;0.000051
221;0;0.000025
221;1;0.000027
221;2;0.000028
221;3;0.000031
221;4;0.000033
221;5;0.000037
221;6;0.000038
221;7;0.000039
221;8;0.000040
221;9;0.000042
221;10;0.000043
221;11;0.000044
221;12;0.000045
221;13;0.000045
221;14;0.000047
221;15;0.000048
221;16;0.000048
221;17;0.000050
221;18;0.000050
221;19;0.000051
222;0;0.000024
222;1;0.000027
222;2;0.000029
222;3;0.000030
222;4;0.000034
222;5;0.000036
222;6;0.000038
222;7;0.000040
222;8;0.000041
222;9;0.000042
222;10;0.000043
222;11;0.000045
222;12;0.000044
222;13;0.000046
222;14;0.000047
222;15;0.000048
222;16;0.000050
222;17;0.000050
222;18;0.000051
222;19;0.000052
223;0;0.000024
223;1;0.000029
223;2;0.000029
223;3;0.000032
223;4;0.000032
223;5;0.000037
223;6;0.000037
223;7;0.000039
223;8;0.000041
223;9;0.000043
223;10;0.000043
223;11;0.000044
223;12;0.000045
223;13;0.000046
223;14;0.000047
223;15;0.000048
223;16;0.000050
223;17;0.000052
223;18;0.000051
223;19;0.000052
224;0;0.000024
224;1;0.000027
224;2;0.000029
224;3;0.000031
224;4;0.000033
224;5;0.000036
224;6;0.000039
224;7;0.000039
224;8;0.000041
224;9;0.000042
224;10;0.000043
224;11;0.000045
224;12;0.000045
224;13;0.000046
224;14;0.000047
224;15;0.000048
224;16;0.000050
224;17;0.000049
224;18;0.000052
224;19;0.000052
225;0;0.000024
225;1;0.000028
225;2;0.000030
225;3;0.000032
225;4;0.000033
225;5;0.000036
225;6;0.000038
225;7;0.000040
225;8;0.000042
225;9;0.000043
225;10;0.000045
225;11;0.000045
225;12;0.000046
225;13;0.000046
225;14;0.000047
225;15;0.000049
225;16;0.000049
225;17;0.000050
225;18;0.000051
225;19;0.000053
226;0;0.000025
226;1;0.000028
226;2;0.000030
226;3;0.000031
226;4;0.000033
226;5;0.000036
226;6;0.000038
226;7;0.000040
226;8;0.000041
226;9;0.000043
226;10;0.000043
226;11;0.000045
226;12;0.000046
226;13;0.000047
226;14;0.000048
226;15;0.000049
226;16;0.000050
226;17;0.000050
226;18;0.000051
226;19;0.000052
227;0;0.000024
227;1;0.000029
227;2;0.000030
227;3;0.000050
227;4;0.000034
227;5;0.000037
227;6;0.000038
227;7;0.000040
227;8;0.000041
227;9;0.000043
227;10;0.000045
227;11;0.000044
227;12;0.000047
227;13;0.000046
227;14;0.000048
227;15;0.000048
227;16;0.000050
227;17;0.000052
227;18;0.000051
227;19;0.000052
228;0;0.000024
228;1;0.000028
228;2;0.000031
228;3;0.000032
228;4;0.000033
228;5;0.000036
228;6;0.000038
228;7;0.000041
228;8;0.000042
228;9;0.000044
228;10;0.000044
228;11;0.000045
228;12;0.000046
228;13;0.000047
228;14;0.000049
228;15;0.000049
228;16;0.000050
228;17;0.000051
228;18;0.000051
228;19;0.000053
229;0;0.000025
229;1;0.000029
229;2;0.000030
229;3;0.000032
229;4;0.000034
229;5;0.000036
229;6;0.000039
229;7;0.000041
229;8;0.000042
229;9;0.000043
229;10;0.000044
229;11;0.000046
229;12;0.000046
229;13;0.000048
229;14;0.000048
229;15;0.000049
229;16;0.000050
229;17;0.000051
229;18;0.000052
229;19;0.000053
230;0;0.000026
230;1;0.000029
230;2;0.000030
230;3;0.000032
230;4;0.000034
230;5;0.000037
230;6;0.000058
230;7;0.000059
230;8;0.000042
230;9;0.000043
230;10;0.000045
230;11;0.000046
230;12;0.000048
230;13;0.000048
230;14;0.000050
230;15;0.000049
230;16;0.000050
230;17;0.000051
230;18;0.000052
230;19;0.000054
231;0;0.000025
231;1;0.000029
231;2;0.000031
231;3;0.000032
231;4;0.000034
231;5;0.000036
231;6;0.000040
231;7;0.000040
231;8;0.000042
231;9;0.000044
231;10;0.000045
231;11;0.000047
231;12;0.000046
231;13;0.000049
231;14;0.000049
231;15;0.000049
231;16;0.000052
231;17;0.000051
231;18;0.000054
231;19;0.000053
232;0;0.000025
232;1;0.000030
232;2;0.000030
232;3;0.000032
232;4;0.000034
232;5;0.000037
232;6;0.000040
232;7;0.000041
232;8;0.000042
232;9;0.000044
232;10;0.000045
232;11;0.000045
232;12;0.000047
232;13;0.000048
232;14;0.000049
232;15;0.000050
232;16;0.000051
232;17;0.000051
232;18;0.000054
232;19;0.000054
233;0;0.000026
233;1;0.000029
233;2;0.000030
233;3;0.000032
233;4;0.000034
233;5;0.000038
233;6;0.000039
233;7;0.000042
233;8;0.000043
233;9;0.000043
233;10;0.000045
233;11;0.000045
233;12;0.000048
233;13;0.000048
233;14;0.000049
233;15;0.000051
233;16;0.000051
233;17;0.000052
233;18;0.000052
233;19;0.000055
234;0;0.000025
234;1;0.000029
234;2;0.000031
234;3;0.000033
234;4;0.000053
234;5;0.000088
234;6;0.000058
234;7;0.000110
234;8;0.000112
234;9;0.000078
234;10;0.000062
234;11;0.000047
234;12;0.000047
234;13;0.000049
234;14;0.000049
234;15;0.000050
234;16;0.000051
234;17;0.000052
234;18;0.000054
234;19;0.000055
235;0;0.000025
235;1;0.000029
235;2;0.000031
235;3;0.000033
235;4;0.000035
235;5;0.000038
235;6;0.000039
235;7;0.000041
235;8;0.000043
235;9;0.000044
235;10;0.000046
235;11;0.000046
235;12;0.000047
235;13;0.000048
235;14;0.000050
235;15;0.000051
235;16;0.000052
235;17;0.000054
235;18;0.000054
235;19;0.000055
236;0;0.000026
236;1;0.000029
236;2;0.000031
236;3;0.000033
236;4;0.000035
236;5;0.000037
236;6;0.000040
236;7;0.000042
236;8;0.000043
236;9;0.000046
236;10;0.000046
236;11;0.000047
236;12;0.000048
236;13;0.000048
236;14;0.000050
236;15;0.000051
236;16;0.000053
236;17;0.000054
236;18;0.000054
236;19;0.000055
237;0;0.000025
237;1;0.000029
237;2;0.000031
237;3;0.000033
237;4;0.000036
237;5;0.000038
237;6;0.000039
237;7;0.000042
237;8;0.000043
237;9;0.000044
237;10;0.000046
237;11;0.000048
237;12;0.000047
237;13;0.000049
237;14;0.000050
237;15;0.000051
237;16;0.000053
237;17;0.000052
237;18;0.000055
237;19;0.000054
238;0;0.000026
238;1;0.000030
238;2;0.000031
238;3;0.000034
238;4;0.000035
238;5;0.000038
238;6;0.000039
238;7;0.000042
238;8;0.000043
238;9;0.000045
238;10;0.000047
238;11;0.000047
238;12;0.000048
238;13;0.000049
238;14;0.000050
238;15;0.000052
238;16;0.000052
238;17;0.000054
238;18;0.000054
238;19;0.000055
239;0;0.000025
239;1;0.000030
239;2;0.000032
239;3;0.000033
239;4;0.000035
239;5;0.000038
239;6;0.000040
239;7;0.000042
239;8;0.000044
239;9;0.000046
239;10;0.000046
239;11;0.000047
239;12;0.000048
239;13;0.000049
239;14;0.000051
239;15;0.000052
239;16;0.000053
239;17;0.000053
239;18;0.000055
239;19;0.000056
240;0;0.000026
240;1;0.000030
240;2;0.000031
240;3;0.000033
240;4;0.000035
240;5;0.000038
240;6;0.000042
240;7;0.000043
240;8;0.000045
240;9;0.000045
240;10;0.000046
240;11;0.000047
240;12;0.000048
240;13;0.000050
240;14;0.000051
240;15;0.000052
240;16;0.000053
240;17;0.000056
240;18;0.000055
240;19;0.000056
241;0;0.000026
241;1;0.000030
241;2;0.000033
241;3;0.000034
241;4;0.000036
241;5;0.000039
241;6;0.000041
241;7;0.000043
241;8;0.000044
241;9;0.000046
241;10;0.000046
241;11;0.000047
241;12;0.000049
241;13;0.000050
241;14;0.000052
241;15;0.000052
241;16;0.000053
241;17;0.000053
241;18;0.000054
241;19;0.000056
242;0;0.000026
242;1;0.000031
242;2;0.000031
242;3;0.000033
242;4;0.000036
242;5;0.000039
242;6;0.000042
242;7;0.000043
242;8;0.000045
242;9;0.000046
242;10;0.000047
242;11;0.000047
242;12;0.000049
242;13;0.000051
242;14;0.000051
242;15;0.000052
242;16;0.000053
242;17;0.000053
242;18;0.000056
242;19;0.000056
243;0;0.000027
243;1;0.000030
243;2;0.000031
243;3;0.000034
243;4;0.000036
243;5;0.000039
243;6;0.000041
243;7;0.000043
243;8;0.000044
243;9;0.000046
243;10;0.000047
243;11;0.000048
243;12;0.000050
243;13;0.000050
243;14;0.000051
243;15;0.000052
243;16;0.000053
243;17;0.000055
243;18;0.000055
243;19;0.000056
244;0;0.000026
244;1;0.000031
244;2;0.000032
244;3;0.000033
244;4;0.000037
244;5;0.000039
244;6;0.000041
244;7;0.000043
244;8;0.000045
244;9;0.000047
244;10;0.000047
244;11;0.000049
244;12;0.000049
244;13;0.000051
244;14;0.000051
244;15;0.000052
244;16;0.000054
244;17;0.000056
244;18;0.000055
244;19;0.000057
245;0;0.000026
245;1;0.000030
245;2;0.000033
245;3;0.000033
245;4;0.000036
245;5;0.000039
245;6;0.000041
245;7;0.000044
245;8;0.000045
245;9;0.000047
245;10;0.000047
245;11;0.000048
245;12;0.000050
245;13;0.000122
245;14;0.000052
245;15;0.000053
245;16;0.000053
245;17;0.000055
245;18;0.000056
245;19;0.000056
246;0;0.000026
246;1;0.000031
246;2;0.000032
246;3;0.000034
246;4;0.000036
246;5;0.000039
246;6;0.000042
246;7;0.000043
246;8;0.000046
246;9;0.000046
246;10;0.000047
246;11;0.000048
246;12;0.000049
246;13;0.000052
246;14;0.000052
246;15;0.000053
246;16;0.000054
246;17;0.000055
246;18;0.000056
246;19;0.000057
247;0;0.000027
247;1;0.000031
247;2;0.000034
247;3;0.000034
247;4;0.000036
247;5;0.000039
247;6;0.000041
247;7;0.000044
247;8;0.000045
247;9;0.000046
247;10;0.000048
247;11;0.000049
247;12;0.000051
247;13;0.000051
247;14;0.000053
247;15;0.000053
247;16;0.000054
247;17;0.000054
247;18;0.000056
247;19;0.000058
248;0;0.000026
248;1;0.000030
248;2;0.000032
248;3;0.000034
248;4;0.000036
248;5;0.000039
248;6;0.000043
248;7;0.000044
248;8;0.000045
248;9;0.000046
248;10;0.000048
248;11;0.000049
248;12;0.000050
248;13;0.000052
248;14;0.000052
248;15;0.000053
248;16;0.000054
248;17;0.000057
248;18;0.000057
248;19;0.000057
249;0;0.000027
249;1;0.000031
249;2;0.000032
249;3;0.000034
249;4;0.000036
249;5;0.000040
249;6;0.000042
249;7;0.000043
249;8;0.000046
249;9;0.000047
249;10;0.000049
249;11;0.000049
249;12;0.000051
249;13;0.000052
249;14;0.000053
249;15;0.000053
249;16;0.000055
249;17;0.000056
249;18;0.000056
249;19;0.000058
250;0;0.000026
250;1;0.000031
250;2;0.000033
250;3;0.000034
250;4;0.000038
250;5;0.000040
250;6;0.000042
250;7;0.000044
250;8;0.000046
250;9;0.000048
250;10;0.000049
250;11;0.000050
250;12;0.000051
250;13;0.000052
250;14;0.000052
250;15;0.000054
250;16;0.000056
250;17;0.000056
250;18;0.000057
250;19;0.000058
251;0;0.000027
251;1;0.000031
251;2;0.000032
251;3;0.000036
251;4;0.000037
251;5;0.000040
251;6;0.000042
251;7;0.000044
251;8;0.000047
251;9;0.000047
251;10;0.000048
251;11;0.000049
251;12;0.000050
251;13;0.000052
251;14;0.000052
251;15;0.000055
251;16;0.000055
251;17;0.000056
251;18;0.000057
251;19;0.000058
252;0;0.000028
252;1;0.000031
252;2;0.000034
252;3;0.000034
252;4;0.000037
252;5;0.000040
252;6;0.000043
252;7;0.000046
252;8;0.000046
252;9;0.000049
252;10;0.000049
252;11;0.000049
252;12;0.000051
252;13;0.000052
252;14;0.000054
252;15;0.000054
252;16;0.000055
252;17;0.000056
252;18;0.000059
252;19;0.000060
253;0;0.000028
253;1;0.000032
253;2;0.000033
253;3;0.000035
253;4;0.000037
253;5;0.000040
253;6;0.000044
253;7;0.000045
253;8;0.000046
253;9;0.000047
253;10;0.000049
253;11;0.000051
253;12;0.000051
253;13;0.000054
253;14;0.000054
253;15;0.000055
253;16;0.000055
253;17;0.000056
253;18;0.000058
253;19;0.000059
254;0;0.000028
254;1;0.000032
254;2;0.000033
254;3;0.000035
254;4;0.000037
254;5;0.000041
254;6;0.000043
254;7;0.000045
254;8;0.000047
254;9;0.000048
254;10;0.000050
254;11;0.000050
254;12;0.000052
254;13;0.000052
254;14;0.000055
254;15;0.000054
254;16;0.000056
254;17;0.000057
254;18;0.000058
254;19;0.000059
255;0;0.000027
255;1;0.000031
255;2;0.000033
255;3;0.000035
255;4;0.000038
255;5;0.000040
255;6;0.000043
255;7;0.000045
255;8;0.000047
255;9;0.000049
255;10;0.000049
255;11;0.000050
255;12;0.000051
255;13;0.000052
255;14;0.000054
255;15;0.000055
255;16;0.000057
255;17;0.000057
255;18;0.000058
255;19;0.000059
256;0;0.000028
256;1;0.000033
256;2;0.000034
256;3;0.000037
256;4;0.000038
256;5;0.000040
256;6;0.000043
256;7;0.000045
256;8;0.000047
256;9;0.000049
256;10;0.000050
256;11;0.000051
256;12;0.000051
256;13;0.000053
256;14;0.000055
256;15;0.000055
256;16;0.000057
256;17;0.000057
256;18;0.000059
256;19;0.000060
257;0;0.000028
257;1;0.000033
257;2;0.000033
257;3;0.000036
257;4;0.000038
257;5;0.000040
257;6;0.000043
257;7;0.000045
257;8;0.000048
257;9;0.000048
257;10;0.000049
257;11;0.000051
257;12;0.000052
257;13;0.000053
257;14;0.000054
257;15;0.000056
257;16;0.000056
257;17;0.000059
257;18;0.000059
257;19;0.000059
258;0;0.000029
258;1;0.000032
258;2;0.000034
258;3;0.000036
258;4;0.000038
258;5;0.000042
258;6;0.000043
258;7;0.000045
258;8;0.000047
258;9;0.000048
258;10;0.000050
258;11;0.000051
258;12;0.000053
258;13;0.000053
258;14;0.000054
258;15;0.000056
258;16;0.000057
258;17;0.000058
258;18;0.000058
258;19;0.000061
259;0;0.000028
259;1;0.000032
259;2;0.000034
259;3;0.000035
259;4;0.000039
259;5;0.000042
259;6;0.000043
259;7;0.000046
259;8;0.000048
259;9;0.000049
259;10;0.000050
259;11;0.000052
259;12;0.000053
259;13;0.000054
259;14;0.000054
259;15;0.000056
259;16;0.000058
259;17;0.000058
259;18;0.000059
259;19;0.000060
260;0;0.000027
260;1;0.000032
260;2;0.000034
260;3;0.000037
260;4;0.000038
260;5;0.000041
260;6;0.000043
260;7;0.000046
260;8;0.000048
260;9;0.000049
260;10;0.000051
260;11;0.000051
260;12;0.000052
260;13;0.000054
260;14;0.000054
260;15;0.000057
260;16;0.000057
260;17;0.000059
260;18;0.000059
260;19;0.000060
261;0;0.000028
261;1;0.000032
261;2;0.000035
261;3;0.000054
261;4;0.000089
261;5;0.000042
261;6;0.000044
261;7;0.000046
261;8;0.000048
261;9;0.000050
261;10;0.000050
261;11;0.000051
261;12;0.000053
261;13;0.000054
261;14;0.000055
261;15;0.000056
261;16;0.000058
261;17;0.000113
261;18;0.000119
261;19;0.000060
262;0;0.000028
262;1;0.000032
262;2;0.000052
262;3;0.000053
262;4;0.000039
262;5;0.000042
262;6;0.000044
262;7;0.000047
262;8;0.000049
262;9;0.000049
262;10;0.000051
262;11;0.000052
262;12;0.000052
262;13;0.000054
262;14;0.000055
262;15;0.000057
262;16;0.000058
262;17;0.000133
262;18;0.000059
262;19;0.000061
263;0;0.000029
263;1;0.000033
263;2;0.000036
263;3;0.000036
263;4;0.000039
263;5;0.000042
263;6;0.000044
263;7;0.000046
263;8;0.000048
263;9;0.000051
263;10;0.000051
263;11;0.000052
263;12;0.000053
263;13;0.000055
263;14;0.000056
263;15;0.000056
263;16;0.000060
263;17;0.000059
263;18;0.000060
263;19;0.000061
264;0;0.000029
264;1;0.000033
264;2;0.000034
